Date,omega,alpha,beta,persistence,sigma2,sigma
2005-01-04,0.0011855995,0.08885526,0.7334493,0.82230455,0.0014454229,0.03801872
2005-01-05,5.3968026e-05,0.04791822,0.84146994,0.88938814,0.0022787284,0.04773603
2005-01-06,2.1885693e-05,0.03216337,0.8765501,0.90871346,0.001977955,0.044474207
2005-01-07,4.4029613e-05,0.04727926,0.8388193,0.88609856,0.0017984402,0.04240802
2005-01-10,3.7518952e-05,0.039491057,0.8591219,0.898613,0.0015555162,0.039440032
2005-01-11,0.00012695864,0.057752766,0.81156886,0.86932164,0.001400791,0.037427142
2005-01-12,0.00019434761,0.056007784,0.8114934,0.8675012,0.0012699689,0.035636622
2005-01-13,0.00012468123,0.052999623,0.8172701,0.8702697,0.001260336,0.035501212
2005-01-14,5.1194278e-05,0.045684937,0.84046656,0.8861515,0.001504154,0.038783424
2005-01-18,0.00023882666,0.06218526,0.79719067,0.85937595,0.0013180802,0.036305375
2005-01-19,0.0004830611,0.07147722,0.7584434,0.82992065,0.001394491,0.037342884
2005-01-20,9.8090175e-05,0.048244823,0.838776,0.8870208,0.0015861301,0.039826248
2005-01-21,6.582331e-05,0.04556968,0.84530205,0.8908717,0.0014287969,0.03779943
2005-01-24,0.0001607533,0.06546212,0.78825253,0.85371464,0.0012788353,0.03576081
2005-01-25,0.00010085324,0.04968538,0.83424616,0.8839315,0.0012595378,0.035489965
2005-01-26,0.000103424274,0.05582327,0.8158012,0.87162447,0.001157882,0.034027666
2005-01-27,6.0387734e-05,0.042911828,0.84867376,0.8915856,0.0010483053,0.032377545
2005-01-28,0.00012390093,0.053423278,0.81932914,0.8727524,0.00096059416,0.030993454
2005-01-31,3.4234043e-05,0.034926366,0.86677104,0.9016974,0.0009120326,0.030199878
2005-02-01,4.2264233e-05,0.04336431,0.84657186,0.88993615,0.00082822575,0.02877891
2005-02-02,2.8829445e-05,0.038850524,0.85891664,0.8977672,0.0007434371,0.027266042
2005-02-03,2.1047195e-05,0.035002507,0.86820906,0.9032116,0.0006709327,0.025902368
2005-02-04,4.586521e-05,0.040838685,0.8423168,0.88315547,0.0006492826,0.025481025
2005-02-07,2.2358521e-05,0.033740617,0.8715375,0.90527815,0.00059575133,0.024408018
2005-02-08,9.103741e-06,0.02946128,0.88238543,0.9118467,0.0005563806,0.023587722
