Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2005-01-04,1.610185e-05,0.05722818,0.9275428,0.984771,0.984771,0.0009923498,0.031501584,0.001057316
2005-01-05,2.8619026e-05,0.035172988,0.9467304,0.9819034,0.9819034,0.00095800956,0.030951729,0.0015814565
2005-01-06,2.0470357e-05,0.043682095,0.93987566,0.98355776,0.98355776,0.000940291,0.030664165,0.001244986
2005-01-07,3.029908e-05,0.03326385,0.9474194,0.98068327,0.98068327,0.00096263783,0.031026406,0.0015685406
2005-01-10,2.1193237e-05,0.043226846,0.9401993,0.98342615,0.98342615,0.00094432436,0.030729862,0.0012787157
2005-01-11,2.8745468e-05,0.03567241,0.94616365,0.9818361,0.9818361,0.00093870616,0.030638311,0.0015825586
2005-01-12,5.4996483e-05,0.022514552,0.95514584,0.97766036,0.9776604,0.0009206554,0.030342303,0.0024618336
2005-01-13,3.7083293e-05,0.02912842,0.95124996,0.9803784,0.9803784,0.00094848307,0.030797452,0.0018899209
2005-01-14,1.1955455e-05,0.07865077,0.9047434,0.98339415,0.98339415,0.0011318418,0.03364286,0.00071995426
2005-01-18,1.2614426e-05,0.06676904,0.9186519,0.98542094,0.98542094,0.0010405034,0.032256834,0.0008652429
2005-01-19,2.8240085e-05,0.043879736,0.93537784,0.9792576,0.9792576,0.0010805732,0.032872073,0.0013614655
2005-01-20,1.08048725e-05,0.078794576,0.90648395,0.98527855,0.98527855,0.0010670889,0.032666326,0.0007339542
2005-01-21,1.3147608e-05,0.06525959,0.919822,0.98508155,0.98508155,0.0009786311,0.03128308,0.00088129874
2005-01-24,4.3937187e-05,0.026869668,0.9512021,0.97807175,0.97807175,0.00092069164,0.030342901,0.0020036795
2005-01-25,1.5381898e-05,0.06062205,0.92365074,0.9842728,0.9842728,0.00095714245,0.030937718,0.000978043
2005-01-26,1.764656e-05,0.0491146,0.9355385,0.98465306,0.98465306,0.00090695743,0.030115735,0.0011498419
2005-01-27,1.5263315e-05,0.052488416,0.9328909,0.9853793,0.98537934,0.00086636486,0.029434077,0.0010439509
2005-01-28,3.3877262e-05,0.030455232,0.95079505,0.9812503,0.9812503,0.0008362152,0.028917385,0.0018068149
2005-01-31,1.6589607e-05,0.046516612,0.93837374,0.98489034,0.98489034,0.0008295406,0.028801747,0.0010979472
2005-02-01,5.8223624e-05,0.01996306,0.9573502,0.9773133,0.9773133,0.00079971924,0.028279308,0.0025664188
2005-02-02,2.4257068e-05,0.034979574,0.9484501,0.9834297,0.9834297,0.00082384184,0.028702645,0.0014638857
2005-02-03,2.115544e-05,0.03693653,0.94754446,0.984481,0.984481,0.0008088947,0.028441073,0.0013631941
2005-02-04,3.510461e-05,0.02815585,0.95268816,0.980844,0.980844,0.0008356097,0.028906913,0.0018325668
2005-02-07,3.557154e-05,0.02857788,0.9524426,0.98102045,0.98102045,0.00083319074,0.028865043,0.0018742036
2005-02-08,1.8223409e-05,0.040739127,0.94360995,0.9843491,0.9843491,0.00084155827,0.029009623,0.001164366
2005-02-09,1.5621472e-05,0.050790653,0.93441784,0.9852085,0.9852085,0.0008549674,0.029239826,0.0010561122
