Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2005-01-04,7.992258e-06,0.061900433,0.9264293,0.9883297,0.9883297,0.0007232377,0.02689308,0.0006848379
2005-01-05,7.916111e-06,0.062081773,0.926286,0.98836774,0.98836774,0.00078401924,0.028000344,0.00068053056
2005-01-06,7.6038655e-06,0.06341128,0.9251055,0.9885168,0.9885168,0.0007433088,0.02726369,0.0006621735
2005-01-07,7.891161e-06,0.062065143,0.9263102,0.9883753,0.9883753,0.0008447895,0.029065263,0.0006788274
2005-01-10,7.649351e-06,0.06324918,0.9252473,0.9884965,0.9884965,0.0007910231,0.028125133,0.0006649575
2005-01-11,7.8569565e-06,0.062267903,0.9261412,0.9884091,0.9884091,0.00073991844,0.027201442,0.00067785574
2005-01-12,7.812965e-06,0.062517226,0.9258943,0.98841155,0.98841155,0.00069658493,0.026392896,0.0006742025
2005-01-13,7.864381e-06,0.062407963,0.9259653,0.9883733,0.9883733,0.0006663855,0.025814444,0.00067640573
2005-01-14,7.855404e-06,0.06214603,0.9262545,0.9884005,0.9884005,0.00070199044,0.026495103,0.0006772203
2005-01-18,7.788059e-06,0.06263452,0.9257908,0.9884253,0.9884253,0.00066096295,0.025709199,0.00067285274
2005-01-19,7.425667e-06,0.06441459,0.9241779,0.9885925,0.9885925,0.000619705,0.024893874,0.00065094634
2005-01-20,7.827342e-06,0.062423673,0.9259906,0.9884142,0.9884142,0.0005999674,0.02449423,0.00067559956
2005-01-21,7.8204475e-06,0.06249036,0.9259279,0.9884182,0.9884182,0.0005752607,0.023984594,0.0006752372
2005-01-24,7.855933e-06,0.062363,0.9260082,0.9883712,0.98837125,0.00061149494,0.024728423,0.000675558
2005-01-25,7.829317e-06,0.06235412,0.92607474,0.9884289,0.9884289,0.000576002,0.024000041,0.0006766263
2005-01-26,7.774274e-06,0.06273451,0.92567205,0.98840654,0.98840654,0.0005584811,0.023632204,0.0006705741
2005-01-27,7.783199e-06,0.0626628,0.9257726,0.9884354,0.9884354,0.0005444317,0.02333306,0.00067301857
2005-01-28,7.666167e-06,0.06308087,0.92541486,0.9884957,0.9884957,0.0005118647,0.022624427,0.0006663745
2005-01-31,7.4350155e-06,0.0640144,0.92462426,0.98863864,0.98863864,0.0005578251,0.023618322,0.00065441243
2005-02-01,7.88698e-06,0.062158693,0.92622405,0.98838276,0.98838276,0.00055185065,0.023491502,0.00067890284
2005-02-02,7.723645e-06,0.06276031,0.92572755,0.98848784,0.98848784,0.0005516203,0.0234866,0.00067091186
2005-02-03,7.633869e-06,0.063044734,0.92549956,0.9885443,0.9885443,0.00052392605,0.022889432,0.00066638086
2005-02-04,7.183388e-06,0.065180734,0.9235793,0.98876,0.98876,0.00049436,0.022234207,0.00063909113
2005-02-07,7.5598523e-06,0.06336817,0.9252069,0.9885751,0.9885751,0.00046377484,0.021535432,0.0006616997
2005-02-08,6.81714e-06,0.06692321,0.922044,0.9889672,0.9889672,0.00048079566,0.021927053,0.00061789644
2005-02-09,7.6220313e-06,0.06313689,0.925387,0.9885239,0.9885239,0.0004505201,0.021225458,0.00066416565
2005-02-10,7.665207e-06,0.063093565,0.92539656,0.9884901,0.9884901,0.0004246015,0.02060586,0.00066596665
2005-02-11,7.856164e-06,0.062451497,0.925894,0.9883455,0.9883455,0.000478774,0.021880904,0.0006740887
2005-02-14,7.289325e-06,0.06454574,0.9241551,0.98870087,0.98870087,0.00045121703,0.02124187,0.0006451225
2005-02-15,7.5191306e-06,0.063522376,0.9250651,0.9885875,0.9885875,0.0004263673,0.020648664,0.00065885036
2005-02-16,7.4500986e-06,0.06376947,0.92486835,0.9886378,0.9886378,0.0004029733,0.020074194,0.00065569184
2005-02-17,7.731186e-06,0.06290669,0.9255276,0.98843426,0.98843426,0.00041143422,0.02028384,0.00066845556
2005-02-18,6.692422e-06,0.067491464,0.92151856,0.98901004,0.98901004,0.00040610947,0.020152157,0.0006089576
2005-02-22,7.663583e-06,0.06313208,0.9253342,0.9884663,0.98846626,0.00039965453,0.01999136,0.00066445273
2005-02-23,7.8159255e-06,0.06268525,0.92565805,0.9883433,0.9883433,0.00057587074,0.023997307,0.0006705092
2005-02-24,7.891633e-06,0.06226337,0.9260961,0.98835945,0.98835945,0.0005408768,0.023256758,0.00067794335
2005-02-25,7.490102e-06,0.06390796,0.92466515,0.98857313,0.98857313,0.00050981785,0.022579147,0.0006554817
2005-02-28,7.595175e-06,0.063225865,0.9252956,0.98852146,0.98852146,0.00047908686,0.021888053,0.00066168455
2005-03-01,7.612805e-06,0.06324087,0.9252802,0.9885211,0.9885211,0.00045234797,0.021268474,0.0006631998
2005-03-02,7.4869295e-06,0.06381757,0.92473423,0.9885518,0.9885518,0.00042632167,0.02064756,0.00065398286
2005-03-03,7.738538e-06,0.062706664,0.9257707,0.98847735,0.98847735,0.00044461575,0.021085914,0.0006715936
2005-03-04,7.5971434e-06,0.063398145,0.92513996,0.9885381,0.9885381,0.00042502928,0.020616239,0.00066281634
2005-03-07,7.593324e-06,0.063305475,0.92523223,0.9885377,0.9885377,0.00040166458,0.020041572,0.00066246244
2005-03-08,7.603435e-06,0.06327221,0.9252659,0.9885381,0.98853815,0.0003794326,0.01947903,0.00066336524
2005-03-09,7.693901e-06,0.06291636,0.9255543,0.9884706,0.9884706,0.00036883258,0.019205015,0.00066732964
2005-03-10,7.545644e-06,0.06346446,0.92511255,0.988577,0.988577,0.00034965517,0.018699069,0.0006605664
2005-03-11,7.183611e-06,0.06501689,0.92374927,0.98876613,0.98876613,0.00036444815,0.019090526,0.0006394603
2005-03-14,7.764023e-06,0.06268101,0.9257485,0.98842955,0.98842955,0.000361007,0.019000184,0.0006710215
2005-03-15,7.668817e-06,0.06291216,0.9255812,0.9884934,0.9884934,0.00034735206,0.018637383,0.00066647015
2005-03-16,7.670554e-06,0.06295192,0.9255532,0.9885051,0.9885051,0.00032932838,0.018147407,0.00066730205
2005-03-17,7.775018e-06,0.06265964,0.92575717,0.9884168,0.9884168,0.00035199127,0.01876143,0.0006712318
2005-03-18,7.664362e-06,0.063028805,0.9254732,0.988502,0.988502,0.0003337396,0.01826854,0.00066658366
2005-03-21,7.5957155e-06,0.06324327,0.92530257,0.98854584,0.98854584,0.0003183826,0.017843278,0.00066314003
2005-03-22,7.679651e-06,0.062901415,0.9256041,0.98850554,0.98850554,0.00030244965,0.01739108,0.0006681178
2005-03-23,7.3987344e-06,0.06405343,0.9246067,0.9886601,0.9886601,0.00029484773,0.017171131,0.0006524513
2005-03-24,7.746776e-06,0.062793985,0.9256788,0.98847276,0.98847276,0.0003859443,0.019645466,0.0006720408
2005-03-28,7.847417e-06,0.06235913,0.92604476,0.9884039,0.9884039,0.000387018,0.019672774,0.00067672995
2005-03-29,7.4843497e-06,0.06371163,0.9249072,0.98861885,0.98861885,0.00037980778,0.019488657,0.0006576093
2005-03-30,7.705185e-06,0.062768444,0.9257007,0.9884692,0.9884692,0.00035937826,0.018957274,0.00066822546
2005-03-31,7.759932e-06,0.06262607,0.92582303,0.9884491,0.9884491,0.00034175295,0.018486561,0.000671803
2005-04-01,7.760026e-06,0.06270457,0.9257092,0.98841375,0.98841375,0.00036502117,0.019105528,0.00066976174
2005-04-04,7.827317e-06,0.06239254,0.92601043,0.98840296,0.98840296,0.00041377946,0.02034157,0.0006749411
2005-04-05,7.402708e-06,0.064072885,0.9245846,0.98865753,0.98865753,0.00039242205,0.019809645,0.0006526542
2005-04-06,7.591755e-06,0.06330849,0.92525095,0.9885594,0.9885594,0.00038962695,0.01973897,0.0006635816
2005-04-07,7.5856224e-06,0.063307494,0.9252571,0.98856455,0.9885646,0.00036893075,0.01920757,0.00066334277
2005-04-08,6.83584e-06,0.066801205,0.9221453,0.9889465,0.9889465,0.0004133182,0.020330228,0.000618432
2005-04-11,7.572678e-06,0.06341411,0.92516196,0.98857605,0.98857605,0.00040289707,0.020072296,0.00066287763
2005-04-12,7.8490875e-06,0.06229662,0.92611676,0.9884134,0.9884134,0.00038346907,0.019582367,0.0006774276
2005-04-13,7.4361997e-06,0.06406211,0.92457294,0.98863506,0.98863506,0.00044056785,0.020989709,0.0006543107
2005-04-14,7.3908477e-06,0.06421884,0.924458,0.98867685,0.98867685,0.00048190972,0.021952443,0.0006527199
2005-04-15,7.776563e-06,0.062654056,0.9257678,0.98842186,0.98842186,0.00047306035,0.021749951,0.0006716589
2005-04-18,7.4757486e-06,0.063771956,0.9248657,0.9886377,0.9886377,0.000456041,0.021355117,0.00065794244
2005-04-19,7.705342e-06,0.06279339,0.92572457,0.98851794,0.98851794,0.00042968945,0.020728951,0.0006710766
2005-04-20,7.790946e-06,0.06260583,0.925787,0.98839283,0.98839283,0.0004922408,0.022186501,0.0006712184
2005-04-21,7.68212e-06,0.062945865,0.92558205,0.9885279,0.9885279,0.00046393287,0.021539101,0.00066963467
2005-04-22,7.984781e-06,0.061919905,0.9263924,0.9883123,0.9883123,0.0005046985,0.022465495,0.00068317837
2005-04-25,7.937786e-06,0.062025074,0.9263131,0.9883382,0.9883382,0.0005041026,0.02245223,0.000680664
2005-04-26,7.644856e-06,0.06309789,0.9254345,0.9885324,0.9885324,0.0004891365,0.02211643,0.00066664966
2005-04-27,7.613536e-06,0.063237324,0.9253214,0.9885587,0.9885587,0.00046343732,0.021527594,0.00066544383
2005-04-28,6.7502133e-06,0.06732832,0.921652,0.98898035,0.98898035,0.0005895398,0.024280442,0.00061256165
2005-04-29,7.87447e-06,0.062337227,0.9260377,0.98837495,0.98837495,0.0005506504,0.02346594,0.00067737076
2005-05-02,7.0114315e-06,0.066037975,0.922831,0.98886895,0.98886895,0.00062076334,0.024915123,0.00062989857
2005-05-03,7.808578e-06,0.062585786,0.92580575,0.9883915,0.9883915,0.0006166834,0.024833111,0.0006726614
2005-05-04,7.11354e-06,0.065612786,0.92319405,0.98880684,0.98880684,0.000629649,0.025092807,0.00063552585
2005-05-05,7.8485145e-06,0.062380098,0.9260077,0.98838776,0.98838776,0.00059850456,0.024464352,0.0006758831
2005-05-06,7.924023e-06,0.0620179,0.9263618,0.9883797,0.9883797,0.0005736552,0.0239511,0.00068191305
2005-05-09,7.676142e-06,0.06300274,0.9255209,0.98852366,0.98852366,0.00053966895,0.023230776,0.0006688668
2005-05-10,7.922933e-06,0.06203123,0.92634,0.9883712,0.9883712,0.0005337345,0.023102695,0.0006813195
2005-05-11,7.84911e-06,0.0623289,0.9260885,0.9884174,0.9884174,0.00050236,0.022413388,0.0006776632
2005-05-12,7.300942e-06,0.064514615,0.92420495,0.9887196,0.9887196,0.0005362847,0.023157822,0.0006472227
2005-05-13,7.2419625e-06,0.06496149,0.9237825,0.988744,0.988744,0.00060022494,0.024499489,0.000643388
2005-05-16,7.71649e-06,0.06277904,0.9257231,0.98850214,0.98850214,0.00056210486,0.023708751,0.00067112426
2005-05-17,7.4583154e-06,0.06381737,0.92483085,0.98864824,0.98864824,0.0005282059,0.02298273,0.00065701816
2005-05-18,7.71434e-06,0.0629408,0.9255156,0.98845637,0.98845637,0.0004992131,0.022343077,0.00066827674
2005-05-19,7.3095407e-06,0.06452555,0.92420787,0.9887334,0.9887334,0.0005512856,0.023479471,0.00064878026
2005-05-20,7.5789035e-06,0.06343502,0.9251258,0.9885608,0.9885608,0.00052020076,0.02280791,0.00066253764
2005-05-23,7.3223755e-06,0.06441479,0.92431605,0.98873085,0.98873085,0.000489327,0.022120737,0.00064977165
2005-05-24,7.685218e-06,0.062939405,0.92556655,0.98850596,0.98850596,0.0006140155,0.024779337,0.00066862634
2005-05-25,7.762716e-06,0.062840074,0.9255773,0.9884174,0.9884174,0.0005823957,0.024132876,0.00067020423
2005-05-26,7.874779e-06,0.06240879,0.9259558,0.9883646,0.9883646,0.00058862456,0.024261586,0.0006767935
