Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2005-01-04,1.1929752e-05,0.059289467,0.9286888,0.9879783,0.9879783,0.0009923498,0.031501584,0.0009923498
2005-01-05,1.1938861e-05,0.059287585,0.9286815,0.9879691,0.9879691,0.00095574773,0.030915169,0.0009923498
2005-01-06,1.19347205e-05,0.059234954,0.9287383,0.9879733,0.9879733,0.00090743834,0.030123718,0.0009923498
2005-01-07,1.19351935e-05,0.059289277,0.9286835,0.9879728,0.9879728,0.00093391526,0.030560028,0.0009923498
2005-01-10,1.1936554e-05,0.05923621,0.9287352,0.9879714,0.9879714,0.0008828179,0.029712252,0.0009923498
2005-01-11,1.1930284e-05,0.059298854,0.9286789,0.98797774,0.98797774,0.0008724851,0.029537858,0.0009923498
2005-01-12,1.1931349e-05,0.05925965,0.928717,0.9879767,0.9879767,0.0008284063,0.02878205,0.0009923498
2005-01-13,1.1931704e-05,0.059277084,0.92869925,0.9879763,0.9879763,0.000818468,0.02860888,0.0009923498
2005-01-14,1.19414635e-05,0.059380464,0.928586,0.9879665,0.9879665,0.0011638133,0.034114707,0.0009923498
2005-01-18,1.1929161e-05,0.059270848,0.928708,0.9879789,0.9879789,0.001096056,0.033106737,0.0009923498
2005-01-19,1.1932296e-05,0.059273396,0.9287023,0.9879757,0.9879757,0.0011293548,0.033605874,0.0009923498
2005-01-20,1.1930521e-05,0.059219155,0.9287583,0.9879775,0.9879775,0.0010987308,0.033147108,0.0009923498
2005-01-21,1.1933242e-05,0.05920445,0.9287703,0.98797476,0.98797476,0.0010327821,0.03213693,0.0009923498
2005-01-24,1.1934366e-05,0.05929219,0.92868143,0.98797363,0.98797363,0.0009778437,0.031270493,0.0009923498
2005-01-25,1.1932177e-05,0.059243813,0.92873204,0.98797584,0.98797584,0.0010026601,0.031664807,0.0009923498
2005-01-26,1.1937145e-05,0.059334345,0.9286365,0.9879708,0.9879708,0.00095047423,0.030829763,0.0009923498
2005-01-27,1.1937145e-05,0.059277076,0.9286938,0.9879708,0.9879708,0.0008948538,0.029914107,0.0009923498
2005-01-28,1.1930994e-05,0.059256513,0.92872053,0.987977,0.987977,0.00085735647,0.02928065,0.0009923498
2005-01-31,1.1938506e-05,0.059193622,0.92877585,0.98796946,0.98796946,0.0008093314,0.028448751,0.0009923498
2005-02-01,1.1934602e-05,0.059295673,0.92867774,0.9879734,0.9879734,0.0007696203,0.027742032,0.0009923498
2005-02-02,1.1940754e-05,0.059220813,0.9287464,0.9879672,0.9879672,0.0007266842,0.02695708,0.0009923498
2005-02-03,1.1932058e-05,0.05921876,0.9287572,0.98797596,0.98797596,0.00069237326,0.026312986,0.0009923498
2005-02-04,1.1932296e-05,0.05922743,0.9287483,0.9879757,0.9879757,0.00073191995,0.02705402,0.0009923498
2005-02-07,1.1926794e-05,0.05922797,0.9287533,0.98798126,0.98798126,0.0006959313,0.026380511,0.0009923498
2005-02-08,1.1935548e-05,0.059107367,0.9288651,0.98797244,0.98797244,0.00068401673,0.026153713,0.0009923498
2005-02-09,1.1935312e-05,0.059307553,0.9286651,0.9879727,0.9879727,0.0007091618,0.026630092,0.0009923498
2005-02-10,1.1929634e-05,0.05929197,0.92868644,0.9879784,0.9879784,0.00067051715,0.025894346,0.0009923498
2005-02-11,1.1936318e-05,0.05934609,0.9286256,0.98797166,0.98797166,0.0006346516,0.025192292,0.0009923498
2005-02-14,1.1938979e-05,0.059225112,0.92874384,0.987969,0.9879689,0.0006081229,0.024660148,0.0009923498
2005-02-15,1.19347205e-05,0.0592503,0.928723,0.9879733,0.9879733,0.00057673187,0.024015242,0.0009923498
2005-02-16,1.1938861e-05,0.0591738,0.9287953,0.9879691,0.9879691,0.00055847655,0.02363211,0.0009923498
2005-02-17,1.1933478e-05,0.05928738,0.92868716,0.9879745,0.9879745,0.0005372226,0.023178063,0.0009923498
2005-02-18,1.1938979e-05,0.059118055,0.92885095,0.987969,0.987969,0.0005667741,0.023807017,0.0009923498
2005-02-22,1.19331235e-05,0.059290674,0.92868423,0.9879749,0.9879749,0.00053870847,0.023210093,0.0009923498
2005-02-23,1.194519e-05,0.059288237,0.92867446,0.9879627,0.9879627,0.0005755413,0.023990441,0.0009923498
2005-02-24,1.193064e-05,0.059175257,0.92880213,0.9879774,0.9879774,0.0006138474,0.024775945,0.0009923498
2005-02-25,1.1935548e-05,0.0591761,0.92879635,0.98797244,0.98797244,0.0005821217,0.024127198,0.0009923498
2005-02-28,1.193194e-05,0.059222497,0.92875355,0.9879761,0.9879761,0.0007902115,0.0281107,0.0009923498
2005-03-01,1.1933833e-05,0.059211604,0.92876256,0.98797417,0.98797417,0.00074619544,0.027316578,0.0009923498
2005-03-02,1.1938861e-05,0.059273545,0.92869556,0.9879691,0.9879691,0.00070808554,0.026609877,0.0009923498
2005-03-03,1.1940754e-05,0.059152484,0.9288147,0.9879672,0.9879672,0.0006714807,0.025912944,0.0009923498
2005-03-04,1.1938506e-05,0.059208643,0.9287608,0.98796946,0.98796946,0.00064016803,0.025301542,0.0009923498
2005-03-07,1.1936318e-05,0.059156302,0.92881536,0.98797166,0.98797166,0.00061680283,0.024835516,0.0009923498
2005-03-08,1.1933952e-05,0.059157446,0.9288166,0.98797405,0.98797405,0.0005859019,0.02420541,0.0009923498
2005-03-09,1.1933596e-05,0.059235103,0.9287393,0.9879744,0.9879744,0.00057937234,0.024070155,0.0009923498
2005-03-10,1.1932296e-05,0.0591301,0.92884564,0.9879757,0.9879757,0.0005515087,0.023484223,0.0009923498
2005-03-11,1.1931349e-05,0.059104808,0.92887187,0.9879767,0.9879767,0.00053973024,0.023232095,0.0009923498
2005-03-14,1.193064e-05,0.059216198,0.9287612,0.9879774,0.9879774,0.00051330915,0.022656327,0.0009923498
2005-03-15,1.1933833e-05,0.05924431,0.92872983,0.98797417,0.98797417,0.0006540216,0.025573846,0.0009923498
2005-03-16,1.1934129e-05,0.05917453,0.92879933,0.98797387,0.98797387,0.000621429,0.024928479,0.0009923498
2005-03-17,1.1933005e-05,0.05920844,0.92876655,0.987975,0.987975,0.0005893573,0.024276681,0.0009923498
2005-03-18,1.1933833e-05,0.059162047,0.92881215,0.98797417,0.98797417,0.0005618732,0.023703864,0.0009923498
2005-03-21,1.1933478e-05,0.05915841,0.92881614,0.9879745,0.9879745,0.0005353053,0.023136666,0.0009923498
2005-03-22,1.1934484e-05,0.059186842,0.9287867,0.9879735,0.9879735,0.0005115373,0.022617191,0.0009923498
2005-03-23,1.1938388e-05,0.059119932,0.92884964,0.9879696,0.9879696,0.0004922793,0.022187369,0.0009923498
2005-03-24,1.1923482e-05,0.059147727,0.9288369,0.9879846,0.9879846,0.00048264844,0.02196926,0.0009923498
2005-03-28,1.1933833e-05,0.059240103,0.92873406,0.98797417,0.98797417,0.0004667441,0.02160426,0.0009923498
2005-03-29,1.1930521e-05,0.059092868,0.9288846,0.9879775,0.9879775,0.0004499557,0.021212159,0.0009923498
2005-03-30,1.1931467e-05,0.059261266,0.9287153,0.98797655,0.98797655,0.00055200304,0.023494745,0.0009923498
2005-03-31,1.192644e-05,0.059177537,0.9288041,0.9879816,0.9879816,0.0005454,0.0233538,0.0009923498
2005-04-01,1.1932177e-05,0.059245527,0.9287303,0.98797584,0.98797584,0.0005577295,0.023616297,0.0009923498
2005-04-04,1.19372635e-05,0.05921141,0.9287593,0.9879707,0.9879707,0.0005394263,0.023225551,0.0009923498
2005-04-05,1.1931113e-05,0.05913625,0.92884064,0.9879769,0.9879769,0.0005366174,0.023165004,0.0009923498
2005-04-06,1.1934602e-05,0.059089024,0.9288844,0.9879734,0.9879734,0.0005107928,0.022600725,0.0009923498
2005-04-07,1.1933478e-05,0.05913265,0.9288419,0.9879745,0.9879745,0.00048656185,0.022058148,0.0009923498
