Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2021-06-24,1.3816459e-06,0.0740305,0.9155728,0.98960334,0.98960334,0.00013289324,0.011527933,0.00013289326
2021-06-25,1.6817113e-06,0.15408811,0.8332573,0.9873454,0.98734546,0.00012547127,0.011201396,0.00013289326
2021-06-28,1.651746e-06,0.12040798,0.8671629,0.9875709,0.9875709,0.00010797154,0.0103909355,0.00013289326
2021-06-29,1.6741942e-06,0.14493355,0.8424684,0.98740196,0.98740196,9.568323e-05,0.009781781,0.00013289326
2021-06-30,1.8914687e-06,0.17960623,0.8061608,0.985767,0.985767,8.23023e-05,0.009072062,0.00013289326
2021-07-01,2.5220322e-06,0.098140225,0.8828819,0.9810221,0.9810221,6.831763e-05,0.008265448,0.00013289326
2021-07-02,2.3020646e-06,0.13619088,0.84648645,0.98267734,0.98267734,6.5632696e-05,0.008101401,0.00013289326
2021-07-06,2.0933765e-06,0.11918644,0.8650612,0.9842477,0.9842477,6.537579e-05,0.008085529,0.00013289326
2021-07-07,2.1543528e-06,0.084746525,0.8990423,0.98378885,0.98378885,5.912826e-05,0.00768949,0.00013289326
2021-07-08,2.025905e-06,0.1229517,0.8618037,0.9847554,0.9847554,5.625993e-05,0.007500662,0.00013289326
2021-07-09,1.7917031e-06,0.0503683,0.9361494,0.9865177,0.9865177,5.9117887e-05,0.0076888157,0.00013289326
2021-07-12,1.5181653e-06,0.11206802,0.87650806,0.98857605,0.98857605,6.261714e-05,0.0079131,0.00013289326
2021-07-13,1.9330623e-06,0.1515186,0.83393544,0.985454,0.985454,5.769058e-05,0.0075954315,0.00013289326
2021-07-14,2.0636726e-06,0.10363127,0.88083994,0.9844712,0.9844712,5.2007163e-05,0.007211599,0.00013289326
2021-07-15,1.9840263e-06,0.106372945,0.8786976,0.9850705,0.9850705,4.8050337e-05,0.006931835,0.00013289326
2021-07-16,2.1219319e-06,0.11583094,0.86820185,0.9840328,0.9840328,4.5589524e-05,0.0067520016,0.00013289326
2021-07-19,2.041351e-06,0.047516838,0.93712234,0.98463917,0.98463917,4.9227478e-05,0.0070162294,0.00013289326
2021-07-20,2.057114e-06,0.031132307,0.9533883,0.98452055,0.98452055,5.8955447e-05,0.007678245,0.00013289326
2021-07-21,1.3815667e-06,0.074260175,0.91534376,0.98960394,0.98960394,6.440429e-05,0.008025228,0.00013289326
2021-07-22,1.4522304e-06,0.12915663,0.85991555,0.9890722,0.9890722,6.494278e-05,0.008058708,0.00013289326
2021-07-23,1.673022e-06,0.16499297,0.8224178,0.9874108,0.9874108,5.776701e-05,0.007600461,0.00013289326
2021-07-26,1.455882e-06,0.121188365,0.8678564,0.9890447,0.9890447,6.584647e-05,0.008114584,0.00013289326
2021-07-27,3.2468326e-06,0.20242095,0.77314717,0.9755681,0.9755681,5.922368e-05,0.007695692,0.00013289326
2021-07-28,3.1612615e-06,0.08447108,0.8917409,0.976212,0.976212,5.360908e-05,0.0073218225,0.00013289326
2021-07-29,3.822622e-06,0.16166005,0.8095753,0.9712354,0.9712354,5.099663e-05,0.0071411924,0.00013289326
2021-07-30,3.637911e-06,0.16187055,0.8107548,0.9726253,0.9726253,4.7634927e-05,0.006901806,0.00013289326
2021-08-02,3.5196338e-06,0.072179645,0.9013357,0.97351533,0.9735154,4.6392233e-05,0.0068111843,0.00013289326
2021-08-03,3.9566303e-06,0.11607301,0.854154,0.970227,0.970227,4.5711688e-05,0.006761042,0.00013289326
2021-08-04,2.985335e-06,0.11870872,0.8588271,0.97753584,0.97753584,5.0277056e-05,0.0070906314,0.00013289326
2021-08-05,3.7151967e-06,0.13404898,0.83799475,0.97204375,0.97204375,4.9272207e-05,0.0070194164,0.00013289326
2021-08-06,3.4868801e-06,0.17317152,0.8005903,0.9737618,0.9737618,5.0038077e-05,0.0070737596,0.00013289326
2021-08-09,3.6644149e-06,0.14313643,0.82928944,0.9724259,0.9724259,4.3918884e-05,0.0066271327,0.00013289326
2021-08-10,4.0777354e-06,0.17019802,0.7991177,0.9693157,0.9693157,4.022881e-05,0.0063426187,0.00013289326
2021-08-11,4.3301e-06,0.14153464,0.8258821,0.9674167,0.9674167,3.6415724e-05,0.006034544,0.00013289326
2021-08-12,4.4881413e-06,0.15709175,0.80913574,0.9662275,0.9662275,3.515157e-05,0.005928876,0.00013289326
2021-08-13,4.9165196e-06,0.17019132,0.7928127,0.963004,0.963004,3.4168363e-05,0.005845371,0.00013289326
2021-08-16,5.0219332e-06,0.16101535,0.80119544,0.9622108,0.9622108,3.245936e-05,0.005697312,0.00013289326
2021-08-17,3.942222e-06,0.08587827,0.8844572,0.9703354,0.9703354,3.178398e-05,0.005637728,0.00013289326
2021-08-18,3.0440535e-06,0.06269727,0.9143967,0.977094,0.977094,3.598079e-05,0.005998399,0.00013289326
2021-08-19,3.1173947e-06,0.062107276,0.91443485,0.9765421,0.9765421,4.37965e-05,0.0066178925,0.00013289326
2021-08-20,3.6636782e-06,0.08867492,0.8837565,0.9724314,0.9724314,4.328161e-05,0.006578876,0.00013289326
2021-08-23,3.3159438e-06,0.13036716,0.8446809,0.97504807,0.97504807,4.7226647e-05,0.0068721646,0.00013289326
2021-08-24,3.1861812e-06,0.1568666,0.8191579,0.9760245,0.9760245,5.278814e-05,0.0072655445,0.00013289326
2021-08-25,4.086544e-06,0.18474963,0.78449976,0.9692494,0.96924937,4.6735797e-05,0.0068363585,0.00013289326
2021-08-26,4.6244786e-06,0.17184545,0.7933561,0.96520156,0.96520156,4.142529e-05,0.0064362483,0.00013289326
2021-08-27,4.139116e-06,0.091084145,0.8777697,0.96885383,0.96885383,4.3896573e-05,0.006625449,0.00013289326
2021-08-30,3.0878255e-06,0.10957101,0.8671936,0.9767646,0.97676456,4.9589456e-05,0.007041978,0.00013289326
2021-08-31,4.1317808e-06,0.18402375,0.7848853,0.968909,0.968909,4.802666e-05,0.006930127,0.00013289326
