Date,oil GARCHNet | qlike,oil GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-10-01,-7.372915233604873,1.8477346459925598e-08,-7.349479003976758,2.4331353558040117e-08,-7.2987295608026725,3.9361086072494815e-08,-7.275019321179562,4.755268837677908e-08,-7.432683377305701,6.4841984203886645e-09
2025-10-02,-6.692826540799103,1.1206536129442443e-08,-6.700810821921559,9.406923329264991e-09,-6.726550964767494,2.7485103596767076e-09,-6.7343276296934835,2.686165364085454e-10,-6.611606821322113,2.5895449657604625e-08
2025-10-03,-7.7815754320770685,7.656230401678798e-08,-7.746672673096775,8.516761587238883e-08,-7.615807000202016,1.2480891456328093e-07,-7.500259823804967,1.7169992663901728e-07,-7.921826160943198,4.867279587070128e-08
2025-10-06,-7.683868336972676,4.719626084044292e-08,-7.679461696880428,4.815187297488385e-08,-7.573414721780803,7.531048670180247e-08,-7.488783717636123,1.0363305324356326e-07,-7.8004194959979705,2.6147770346915668e-08
2025-10-07,-7.4674689352292,1.8763555644729172e-08,-7.47113626410567,1.8010776531960053e-08,-7.41639691408486,3.0643064752383506e-08,-7.359589788392869,4.713751774295905e-08,-7.536935734945263,6.662582364534528e-09
2025-10-08,-7.866018294628555,5.524816448738133e-08,-7.901464453031404,4.895011605532737e-08,-7.804672363810942,6.761010719417451e-08,-7.748592994539194,8.072546325487286e-08,-8.013148176974504,3.2579935042686815e-08
2025-10-09,-7.2921716479967085,2.982703464384601e-09,-7.300880026215996,1.49003729488779e-09,-7.285774893196955,4.176831543857675e-09,-7.270212225159264,7.39252035072817e-09,-7.311019322173036,1.0413171925684922e-13
2025-10-10,-4.1643827284426695,7.948495862562341e-07,-4.0369849708717425,8.173891049848441e-07,-4.381569435921593,7.515292774590393e-07,-4.672211596506625,6.809386101757255e-07,-3.4836392687642537,8.972499147889967e-07
2025-10-13,-7.461337152672745,7.300504307471828e-08,-7.370839124564137,1.0777438612020044e-07,-7.211080374923103,1.9551212738675664e-07,-7.21785620735738,1.90974420294438e-07,-7.564975178769471,4.3337160456763176e-08
2025-10-14,-6.6228327468517,7.619016853360634e-09,-6.639036135379669,2.196147238870685e-09,-6.639294255394776,2.758866303868403e-09,-6.64089373505098,1.871513031872876e-09,-6.5687671872414315,2.1480631553039382e-08
2025-10-15,-7.465309875216912,5.097068283250562e-08,-7.4207172298722615,6.492352195871984e-08,-7.277030387410769,1.257131030970078e-07,-7.248922104005181,1.409257728990667e-07,-7.556843929979362,2.8240839664885324e-08
2025-10-16,-6.916488814163891,1.4636408486982466e-12,-6.915913117009654,1.6183717284080917e-10,-6.885912965992175,1.1515496763520354e-08,-6.86912451598178,1.953315210739925e-08,-6.900989348177145,3.2882272810151336e-09
2025-10-17,-7.550293737795936,4.76411766981284e-08,-7.537930268858963,5.085239728535311e-08,-7.383789565844843,1.0313847431053199e-07,-7.298019680005833,1.4412673994187225e-07,-7.648223549080972,2.643007351057099e-08
2025-10-20,-7.294600281709494,1.0326788933162583e-08,-7.3004848241297084,9.01159143402174e-09,-7.214507001875495,3.3456192496024195e-08,-7.17585754376828,4.824834584390476e-08,-7.336119121641976,2.2163673119201175e-09
2025-10-21,-7.483858612770642,1.9128474309600792e-08,-7.507130685502997,1.464321356531619e-08,-7.396206081639896,4.077054923797939e-08,-7.368779750925654,4.9226212519512976e-08,-7.552563603183036,7.2948400802262926e-09
2025-10-22,-5.95305326533135,1.2120848867267535e-07,-5.846166659310104,1.3926798295963075e-07,-6.098614781377435,9.027243728986199e-08,-6.12323408179884,8.401416997147752e-08,-5.697434490256621,1.6009235002010716e-07
2025-10-23,-5.974893457345973,1.1597868592396603e-07,-5.854491127770707,1.3519285055941364e-07,-6.079789864311152,9.561383580880632e-08,-6.103311704013424,9.042585833858375e-08,-5.7099050120731345,1.542121419391298e-07
2025-10-24,-7.276186445449911,8.681237297085063e-08,-7.166482083488015,1.455465875960286e-07,-7.338802384327025,6.139088355814498e-08,-7.394331835527543,4.299928209850825e-08,-7.365120214036957,5.221878473315977e-08
2025-10-27,-7.237924775513864,5.128382095412944e-08,-7.163077533556974,8.496833139462104e-08,-7.293797559410387,3.178084897394992e-08,-7.329094140753797,2.1689559718222026e-08,-7.303702259746986,2.8781529054393443e-08
2025-10-28,-7.0706415576288615,1.4140700364871169e-08,-7.040303802544791,2.5744736369611e-08,-7.1034090582990705,4.146209391465331e-09,-7.114979789146074,1.3345407143835112e-09,-7.102972710621724,4.260526464517415e-09
2025-10-29,-7.370408754261614,5.920197753599041e-08,-7.319304104190098,7.847786009533474e-08,-7.41223226164807,4.574181537100088e-08,-7.415542316004191,4.475941360480866e-08,-7.445790972855766,3.631521059104251e-08
2025-10-30,-7.505838972982387,6.869056998672624e-08,-7.475607958338664,7.849502870578002e-08,-7.5732429373124415,4.981258890913943e-08,-7.588582189682625,4.6044863222282045e-08,-7.594348520023976,4.467588323513795e-08
2025-10-31,-7.390880258604046,3.2580380475364836e-08,-7.386600434247237,3.376085675431032e-08,-7.448781539216695,1.8560968360973433e-08,-7.472223459784878,1.3869394543832456e-08,-7.452677748664107,1.7743124218824108e-08
2025-11-03,-7.688665368234087,6.442348740261551e-08,-7.700474395548754,6.159618909072865e-08,-7.792512477432569,4.249639379837534e-08,-7.840583686237589,3.436867626809917e-08,-7.782313528346068,4.4373902083217916e-08
2025-11-04,-7.662580703055492,4.5065900973482806e-08,-7.695974225704834,3.818448657595401e-08,-7.767173715057308,2.5777623498738753e-08,-7.826957992047467,1.7470676315117863e-08,-7.74715903589899,2.8972833952385844e-08
2025-11-05,-7.285991508479539,5.130707853195877e-09,-7.301047424473688,2.330037125646757e-09,-7.31261516704277,5.017524011047667e-10,-7.315859798124557,6.082063855779598e-11,-7.309998542743559,8.852704779650617e-10
2025-11-06,-7.154825052644077,9.167979014314432e-10,-7.1591530599844955,9.781405275225322e-11,-7.159724534835163,2.2185343110556723e-14,-7.159664837983093,9.928190055765344e-12,-7.158731411975768,1.5313488636479007e-10
2025-11-07,-7.674846481400476,2.8891334602366168e-08,-7.729641473863818,1.9907999940828444e-08,-7.741855437950529,1.814567375572082e-08,-7.737538530947148,1.875898217703119e-08,-7.756523912555861,1.6138463447288464e-08
2025-11-10,-7.758958295945427,2.9062229454666652e-08,-7.829219155080451,1.8895879990845553e-08,-7.840999759554654,1.7427286408834917e-08,-7.847867849440362,1.6600416666619456e-08,-7.847694468125132,1.662102828479944e-08
2025-11-11,-7.257592744561391,2.1840791537989928e-10,-7.254868174977061,5.03565484142413e-10,-7.252327737498874,7.80782717424379e-10,-7.248035965146797,1.2241247105940712e-09,-7.252586041702142,7.531690905390998e-10
2025-11-12,-5.387516768101116,2.4745699689868213e-07,-5.133862262781446,2.810159338562759e-07,-4.963043945502674,2.995256182258936e-07,-4.882158574289225,3.0740979976526355e-07,-5.029195035208721,2.9267833808170284e-07
2025-11-13,-7.535809761756534,6.875348327033301e-08,-7.483190084479159,8.576402462974878e-08,-7.382535990001494,1.2626310697307898e-07,-7.510423226805705,7.663681894713775e-08,-7.64416132202663,4.1126691314281555e-08
2025-11-14,-6.871294938026037,2.541789507368112e-10,-6.872201845481336,5.453176215869083e-12,-6.86321230259013,3.147143679576856e-09,-6.870202907680284,5.393750259696422e-10,-6.8480077978899025,5.315148622733086e-09
2025-11-17,-7.542957561305201,6.451195028836365e-08,-7.506263410184256,7.571811923321235e-08,-7.471515617611701,8.74953331784085e-08,-7.593283059657625,5.1019945893719056e-08,-7.648210681561429,3.8522927168815916e-08
2025-11-18,-7.203881115535268,9.102890487274114e-09,-7.198202474308394,1.0583676241911184e-08,-7.180432517288022,1.5608541463289912e-08,-7.22635360980035,3.862466641985769e-09,-7.237041846505806,1.7494465076507348e-09
2025-11-19,-6.780455247053045,3.898338030549372e-09,-6.7811246999688395,3.734208393355236e-09,-6.785932717484661,2.515203023794536e-09,-6.7456813452075135,1.1247142427910965e-08,-6.734246910416246,1.3319940462321368e-08
2025-11-20,-7.318349752902206,2.011796356839873e-08,-7.30921225712337,2.2559368954538116e-08,-7.273172439830033,3.3298556236699145e-08,-7.308798455283937,2.2672579461455584e-08,-7.373404320584118,7.732146330264452e-09
2025-11-21,-7.350355013225762,1.601680613769576e-08,-7.353966775192465,1.5179671009763244e-08,-7.317672777540119,2.4349832558459085e-08,-7.342592440320558,1.7871949154373485e-08,-7.4018137523553715,5.640145342717104e-09
2025-11-24,-7.142436444080074,3.5828401485476785e-09,-7.142706153172563,3.518404400787638e-09,-7.114827243412325,1.1149231251386358e-08,-7.111990166903195,1.202861026889886e-08,-7.159013217279721,6.52936181368869e-11
2025-11-25,-6.896126209209452,1.0349309649312674e-09,-6.8942753822697815,1.451278548251067e-09,-6.900281422005283,2.571189262249853e-11,-6.900368640857435,2.2178071619570834e-12,-6.864497010804099,7.0272380956862345e-09
2025-11-26,-7.642345493022088,4.675343273506942e-08,-7.6568915732525165,4.3544095570382004e-08,-7.578101675471265,6.277107979157816e-08,-7.528283160607344,7.747244792844956e-08,-7.74520623146099,2.69802411291237e-08
2025-11-28,-7.429647022156679,1.753126006830823e-08,-7.445742794993171,1.422123025891372e-08,-7.407290590678495,2.2585115147627788e-08,-7.376890351574125,3.033882216433829e-08,-7.490202065346535,6.469866219493768e-09
2025-12-01,-7.650263375518535,3.140167805343663e-08,-7.692739830821709,2.3823277623682346e-08,-7.636872944245841,3.4037233501089644e-08,-7.607840249417798,4.0183309477411075e-08,-7.745855208856036,1.5895696905709336e-08
2025-12-02,-7.438717062300152,1.0854469899744448e-08,-7.464532804839283,6.427097341384566e-09,-7.444843926322575,9.738190722352045e-09,-7.429051811463581,1.2698243183548165e-08,-7.489895013028616,2.7975782909195397e-09
2025-12-03,-7.557705275575538,1.712952690597456e-08,-7.5954601327624385,1.0990201186513216e-08,-7.560394338081975,1.6654909735913914e-08,-7.514831652207652,2.550527156062888e-08,-7.630409718284092,6.285499600011428e-09
2025-12-04,-7.638315654765705,1.830226997695433e-08,-7.69178150100691,1.0570583247216014e-08,-7.655925157445919,1.554880635930727e-08,-7.620310530330677,2.1336883122054033e-08,-7.72224180091065,6.976048242937582e-09
2025-12-05,-7.762505692922194,2.660657502428862e-08,-7.831295584097196,1.702382756419665e-08,-7.805304275025104,2.0367888764264922e-08,-7.766888013999428,2.5923918429040917e-08,-7.873702447325065,1.2234598659305061e-08
2025-12-08,-7.226395575780825,4.0090369346260986e-12,-7.216331662659922,1.2014667310621372e-09,-7.2215054538635295,6.18244410603029e-10,-7.225245457805281,1.5809492955585008e-10,-7.2024966213805195,2.590505606403128e-09
2025-12-09,-7.760487114866476,2.8175583890800473e-08,-7.811623921722285,2.0640577373174424e-08,-7.75363390585354,2.928986798637682e-08,-7.7027530053008,3.839955172222935e-08,-7.877733887737149,1.2763691874392065e-08
2025-12-10,-7.452689535533185,5.228152917985224e-09,-7.474415994520154,2.1817989294147855e-09,-7.447258667366384,6.078587149350528e-09,-7.405535837880228,1.3735852175175367e-08,-7.490900863352531,3.056266079220045e-10
2025-12-11,-6.725170186025178,1.844474919530097e-08,-6.648091657449751,2.7878347019878753e-08,-6.720545891157186,1.9083508200876622e-08,-6.765625647036177,1.2292702876635699e-08,-6.562452019226814,3.6212994305502853e-08
2025-12-12,-7.790796312560969,2.214474454928e-08,-7.847754599930461,1.4866908477790367e-08,-7.770531632925129,2.512041457480071e-08,-7.682100043957793,4.07850770135551e-08,-7.908721273390758,8.69074041628475e-09
2025-12-15,-7.424714234105573,1.3497950611458999e-09,-7.436084001225408,2.563064388981329e-11,-7.423045877774435,1.5667909601288099e-09,-7.394285395734286,5.9695806431770075e-09,-7.432298247246917,3.3854312291798285e-10
2025-12-16,-6.9245761345685395,8.56757472095273e-09,-6.862776243131292,1.527360585453749e-08,-6.933267952237825,7.457131829680078e-09,-6.973418611983677,1.3193278711103192e-09,-6.783115226007912,2.2004827572001788e-08
2025-12-17,-6.891435391023532,5.616371758925819e-09,-6.888297526938359,6.132037114162085e-09,-6.919772485617787,1.3419983284068298e-10,-6.914959662388919,1.623900824044218e-09,-6.795289108458616,1.804181653808333e-08
2025-12-18,-7.641468590394203,1.7733295312104244e-08,-7.652909850091353,1.5946951355880418e-08,-7.565177666668806,3.201931272117121e-08,-7.4911270045316805,5.0307761615697135e-08,-7.736282357829122,5.4663114129619474e-09
2025-12-19,-7.727782903434267,1.8739168491643175e-08,-7.755649558093861,1.4913660715825563e-08,-7.665301531373113,2.896873658462618e-08,-7.606676112479525,4.0877715996476885e-08,-7.836062344816162,6.158758729059272e-09
2025-12-22,-7.267825937041975,2.2507189221986323e-11,-7.266395543728718,1.9523154514629877e-10,-7.263583333762715,6.597576571989465e-10,-7.252217341040482,2.656604617427005e-09,-7.238163253720261,2.8814038535242783e-09
2025-12-23,-7.913825851005638,4.508835758867027e-08,-7.921168737945881,4.391491429499057e-08,-7.914378635793217,4.499921319013353e-08,-7.85647129860175,5.508576876685215e-08,-8.085667839327169,2.29888357450978e-08
2025-12-24,-8.060785740479252,5.34993217862537e-08,-8.092484896681672,4.8983223110720214e-08,-8.086283417983099,4.9840348665139795e-08,-8.037847524535838,5.698379785758937e-08,-8.2667092760475,2.9444442803040724e-08
2025-12-26,-6.17911744467881,7.81401792294151e-08,-6.09965761381353,8.801822967385314e-08,-6.117408789544785,8.592636852273588e-08,-6.143410035875447,8.274773034087396e-08,-5.82462772154396,1.1435282822680264e-07
2025-12-29,-7.41387743123375,7.69863856909938e-09,-7.40503359359361,9.313803155739114e-09,-7.364084685153303,1.8010173995125563e-08,-7.360784955970834,1.8798773180996365e-08,-7.462077112856983,6.388901558040045e-10
2025-12-30,-7.800577616183013,5.573530060199095e-08,-7.75593543554523,6.527215280451944e-08,-7.751243477057609,6.634156828388327e-08,-7.74414872952934,6.79838981537216e-08,-7.961179048407778,2.963571988988089e-08
2025-12-31,-7.457578339325208,1.0750503494178263e-08,-7.449055927746638,1.2321852652145829e-08,-7.4435115191433905,1.3384868320285196e-08,-7.44376310213989,1.3335935154754865e-08,-7.518321658988206,1.7741648738896687e-09
2026-01-02,-7.476707842882059,8.769737475115586e-09,-7.474440328255919,9.14909064146991e-09,-7.462744483163797,1.1189285566448977e-08,-7.445378033240889,1.4477619953780053e-08,-7.53185909757644,1.2138507269218434e-09
2026-01-05,-6.265626076117263,6.591034227141324e-08,-6.2413190802708804,6.944408930756306e-08,-6.280709828302937,6.362439403116393e-08,-6.307178595580364,5.942313909673414e-08,-5.986790117146749,9.852712684351841e-08
2026-01-06,-6.59137924256994,2.7431215091660104e-08,-6.584697135457935,2.8456397227174995e-08,-6.569608043120674,3.06916173001587e-08,-6.587678716856838,2.8001759117065423e-08,-6.40488144079756,5.006253307728173e-08
2026-01-07,-7.367734439288176,4.623603560184298e-09,-7.363029626943535,5.44721479052562e-09,-7.350802565161574,7.735955365918254e-09,-7.329260333235837,1.2273686587754563e-08,-7.399086777169283,6.940632134135797e-11
2026-01-08,-5.335662456687684,2.879706071093041e-07,-5.4029738558045,2.74948623194518e-07,-5.54995447923471,2.424136640152053e-07,-5.696550408284705,2.023722570277962e-07,-4.871384399215151,3.568537571007193e-07
2026-01-09,-6.562354400043555,1.9000849030124843e-08,-6.5966352674108855,9.66878794094373e-09,-6.572918112208981,1.6327256383617245e-08,-6.600174850636916,8.574642138172163e-09,-6.452943338499412,4.074155106614709e-08
2026-01-12,-7.312902415507658,2.148761925524291e-08,-7.26392173142876,3.6264225976774164e-08,-7.326779009679909,1.7895577857254538e-08,-7.290687640775998,2.777712538368164e-08,-7.378648323145519,6.705194389049191e-09
2026-01-13,-6.795277306408576,3.495648551435112e-09,-6.805068211758662,9.644181547275722e-10,-6.781972656022465,6.49550429343088e-09,-6.796363315287452,3.2320859275338805e-09,-6.738184562737743,1.4573184167043771e-08
2026-01-14,-5.275628053818247,3.667016413054063e-07,-5.432567788845793,3.1737307508577233e-07,-5.045682133983565,4.2381799121975747e-07,-5.155742488228934,3.9830558450047195e-07,-4.930138647226354,4.47700267577053e-07
2026-01-15,-6.514487732324184,2.1324478304271307e-08,-6.544183340073418,1.2692237715859655e-08,-6.432854430220875,3.98077466753938e-08,-6.466166621559441,3.29478055041997e-08,-6.418533308777523,4.2538033758270374e-08
2026-01-16,-7.296857601834349,1.138319418996049e-07,-7.165138984604823,1.9174537647392498e-07,-7.144219927818333,2.0694485500300774e-07,-7.211439039064884,1.610327564895875e-07,-7.404041023216132,6.915077419137576e-08
