Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2021-06-24,8.928383e-07,0.07780341,0.91494995,0.9927534,0.9927534,0.00013289324,0.011527933,0.00012320766
2021-06-25,9.830108e-07,0.115582876,0.87620085,0.99178374,0.99178374,0.00012502282,0.01118136,0.00011964209
2021-06-28,1.0235595e-06,0.0986338,0.89321893,0.99185276,0.99185276,0.00011183329,0.010575126,0.00012563268
2021-06-29,9.774077e-07,0.11072367,0.88116324,0.9918869,0.9918869,0.00010124494,0.010062055,0.000120472985
2021-06-30,1.0824297e-06,0.13257897,0.858703,0.991282,0.991282,9.020449e-05,0.009497604,0.00012416013
2021-07-01,1.5065525e-06,0.09898158,0.8911292,0.99011075,0.99011075,7.859834e-05,0.008865571,0.00015234252
2021-07-02,1.420064e-06,0.11775746,0.8724092,0.99016666,0.99016666,7.436605e-05,0.008623575,0.00014441325
2021-07-06,1.1429297e-06,0.11025679,0.8808244,0.9910812,0.9910812,7.2796865e-05,0.008532108,0.00012814807
2021-07-07,1.4469799e-06,0.09665967,0.89381284,0.9904725,0.9904725,6.570898e-05,0.008106108,0.00015187397
2021-07-08,1.1897358e-06,0.10875486,0.8823432,0.99109805,0.99109805,6.1258375e-05,0.007826773,0.00013364885
2021-07-09,1.118473e-06,0.07208368,0.9200661,0.99214983,0.99214983,6.285379e-05,0.007928038,0.00014247755
2021-07-12,7.028181e-07,0.10984937,0.88307464,0.99292403,0.99292403,6.679395e-05,0.008172757,9.9324694e-05
2021-07-13,1.0472683e-06,0.12075633,0.87073296,0.9914893,0.9914893,6.0949355e-05,0.0078070066,0.000123053
2021-07-14,1.2653388e-06,0.10191082,0.88901216,0.990923,0.990923,5.5683042e-05,0.007462107,0.00013940036
2021-07-15,1.1648112e-06,0.0977052,0.8935596,0.99126476,0.99126476,5.0941984e-05,0.007137365,0.00013334623
2021-07-16,1.3328324e-06,0.104475595,0.88622487,0.9907005,0.9907005,4.7955535e-05,0.0069249934,0.00014332276
2021-07-19,1.798201e-06,0.07109226,0.9191904,0.99028265,0.99028265,5.061919e-05,0.0071147163,0.00018505064
