Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2005-01-04,7.776329e-06,0.062943146,0.92546725,0.9884104,0.9884104,0.0007232377,0.02689308,0.0006709755
2005-01-05,7.307695e-06,0.06542525,0.92312086,0.98854613,0.98854613,0.00078489305,0.028015943,0.00063801114
2005-01-06,7.701926e-06,0.06420355,0.9240615,0.98826504,0.98826504,0.0007415192,0.02723085,0.000656323
2005-01-07,6.9036146e-06,0.06754107,0.92116576,0.9887068,0.9887068,0.00084432634,0.029057294,0.0006113087
2005-01-10,7.735663e-06,0.0638831,0.9243966,0.9882797,0.9882797,0.0007853154,0.02802348,0.0006600226
2005-01-11,7.705758e-06,0.06362337,0.9247361,0.98835945,0.98835945,0.0007340595,0.027093532,0.00066197553
2005-01-12,7.5079065e-06,0.06431687,0.9241848,0.98850167,0.98850167,0.00069005135,0.026268829,0.00065295614
2005-01-13,7.655137e-06,0.063789114,0.924597,0.98838615,0.98838615,0.00065924315,0.02567573,0.00065913884
2005-01-14,7.3492843e-06,0.06507412,0.92349803,0.9885722,0.9885722,0.00069597136,0.02638127,0.00064310466
2005-01-18,7.632141e-06,0.06403176,0.92434615,0.9883779,0.9883779,0.00065309915,0.025555804,0.0006566937
2005-01-19,7.444483e-06,0.0647369,0.9237355,0.9884724,0.9884724,0.0006113255,0.024724998,0.00064579654
2005-01-20,7.5412786e-06,0.06438314,0.92405164,0.9884348,0.9884348,0.0005920708,0.024332505,0.00065206597
2005-01-21,7.7226005e-06,0.06389894,0.92442006,0.988319,0.988319,0.0005668871,0.02380939,0.0006611238
2005-01-24,7.1279937e-06,0.066064134,0.92260456,0.9886687,0.9886687,0.0006043899,0.024584342,0.0006290524
2005-01-25,7.525198e-06,0.064169735,0.92432404,0.98849374,0.9884938,0.0005667501,0.023806514,0.00065400905
2005-01-26,7.225794e-06,0.0655212,0.92311484,0.988636,0.988636,0.00054911856,0.02343328,0.0006358505
2005-01-27,7.748731e-06,0.06372496,0.9245732,0.9882981,0.9882981,0.00053468684,0.023123296,0.0006621782
2005-01-28,7.5248e-06,0.06428122,0.9241799,0.98846114,0.98846114,0.00050216843,0.022409115,0.0006521266
2005-01-31,7.546082e-06,0.065300085,0.92302555,0.98832566,0.98832566,0.0005495456,0.02344239,0.00064638164
2005-02-01,7.472744e-06,0.0644274,0.92408603,0.9885134,0.9885134,0.0005440029,0.02332387,0.00065056246
2005-02-02,7.4892964e-06,0.064710364,0.9237479,0.9884583,0.9884583,0.0005439639,0.023323035,0.0006488889
2005-02-03,7.5087482e-06,0.06472738,0.9237071,0.9884345,0.9884345,0.0005156997,0.022709021,0.00064923643
2005-02-04,7.391575e-06,0.06530028,0.92316955,0.98846984,0.98846984,0.0004857459,0.022039644,0.0006410643
2005-02-07,7.367916e-06,0.06511631,0.9234081,0.9885244,0.9885244,0.00045582824,0.021350134,0.00064204936
2005-02-08,7.2835005e-06,0.066695035,0.9217335,0.98842853,0.98842853,0.00047364947,0.021763489,0.0006294362
2005-02-09,7.092949e-06,0.066623546,0.9220341,0.98865765,0.98865765,0.00044424896,0.021077214,0.0006253511
2005-02-10,7.381406e-06,0.065302625,0.9231982,0.98850083,0.98850083,0.0004167837,0.020415282,0.0006419079
2005-02-11,6.8584473e-06,0.06782076,0.9209001,0.98872083,0.9887209,0.00047307683,0.021750329,0.00060806336
2005-02-14,7.5391085e-06,0.06441956,0.92399573,0.9884153,0.9884153,0.00044258757,0.021037765,0.00065078156
2005-02-15,7.4138857e-06,0.06473278,0.9237948,0.9885276,0.9885276,0.00041856748,0.020458922,0.00064623647
2005-02-16,7.3126125e-06,0.06535903,0.9232117,0.98857075,0.98857075,0.00039514076,0.019878147,0.0006398156
2005-02-17,6.927352e-06,0.067499384,0.9211738,0.9886732,0.9886732,0.00040417793,0.020104177,0.00061159005
2005-02-18,7.3628044e-06,0.06572601,0.9227227,0.98844874,0.98844874,0.00039811386,0.01995279,0.00063740264
2005-02-22,6.9467224e-06,0.06690032,0.9218682,0.9887685,0.9887685,0.0003929464,0.019822875,0.00061850453
2005-02-23,6.4487767e-06,0.07122597,0.9174762,0.9887021,0.9887022,0.0005794264,0.024071278,0.0005707952
2005-02-24,7.5353696e-06,0.06461315,0.9238035,0.9884167,0.9884167,0.0005380604,0.02319613,0.0006505358
2005-02-25,7.698558e-06,0.06379021,0.92457235,0.98836255,0.98836255,0.0005056583,0.022486847,0.0006615331
2005-02-28,7.274586e-06,0.066011876,0.92250526,0.98851717,0.98851717,0.00047540182,0.02180371,0.0006335183
2005-03-01,7.2227654e-06,0.06560815,0.9230339,0.98864204,0.98864204,0.00044735524,0.021150773,0.00063592085
2005-03-02,6.2871004e-06,0.07040039,0.91868603,0.98908645,0.9890864,0.00042031304,0.020501537,0.00057608203
2005-03-03,6.7715473e-06,0.067576975,0.9213129,0.98888993,0.98888993,0.00043974203,0.020970026,0.0006094965
2005-03-04,7.4124264e-06,0.064346194,0.9242672,0.98861337,0.98861337,0.0004180311,0.020445809,0.00065097614
2005-03-07,7.126372e-06,0.065655395,0.9230969,0.9887523,0.9887523,0.0003946535,0.019865887,0.00063358515
2005-03-08,7.242624e-06,0.06511094,0.92358536,0.9886963,0.9886963,0.0003716437,0.019278063,0.0006407291
2005-03-09,6.863222e-06,0.06690469,0.9219864,0.98889107,0.98889107,0.00036093546,0.0189983,0.000617811
2005-03-10,7.189514e-06,0.06533511,0.9233914,0.9887265,0.9887265,0.0003402647,0.018446265,0.00063773553
2005-03-11,7.3326446e-06,0.06519536,0.9233904,0.98858577,0.98858577,0.00035580457,0.018862782,0.0006424126
2005-03-14,6.929638e-06,0.06665892,0.9221791,0.988838,0.988838,0.00035309096,0.018790714,0.000620825
2005-03-15,7.1171044e-06,0.06608482,0.9226197,0.9887045,0.9887045,0.0003382709,0.018392142,0.0006300833
2005-03-16,7.0886113e-06,0.06573604,0.9230676,0.9888037,0.9888037,0.0003193775,0.017871136,0.00063312
2005-03-17,7.0279666e-06,0.06627286,0.92249817,0.988771,0.988771,0.0003431528,0.018524384,0.00062587764
2005-03-18,7.239454e-06,0.06517122,0.9235151,0.9886863,0.9886863,0.00032369804,0.01799161,0.0006398852
2005-03-21,7.1844997e-06,0.065365106,0.92336285,0.9887279,0.9887279,0.00030809361,0.017552596,0.0006373717
2005-03-22,7.218322e-06,0.065100975,0.9236356,0.98873657,0.98873657,0.0002919289,0.017085927,0.00064086355
2005-03-23,7.269309e-06,0.0650908,0.92356914,0.9886599,0.9886599,0.00028432615,0.016861973,0.00064102793
2005-03-24,7.4112736e-06,0.064840645,0.9236853,0.9885259,0.988526,0.00037750707,0.01942954,0.0006459148
2005-03-28,7.2536354e-06,0.06515622,0.9235171,0.9886733,0.9886733,0.00037883717,0.01946374,0.00064040313
2005-03-29,7.43107e-06,0.06471752,0.92380744,0.988525,0.988525,0.00037128906,0.019268863,0.0006475863
2005-03-30,7.208199e-06,0.065762766,0.92288494,0.9886477,0.9886477,0.00035104717,0.018736253,0.0006349549
2005-03-31,7.158801e-06,0.066222854,0.9223904,0.98861325,0.98861325,0.00033262078,0.018237894,0.0006286956
2005-04-01,7.0840283e-06,0.06616923,0.9225439,0.98871315,0.98871315,0.0003571701,0.018898943,0.0006276353
2005-04-04,7.241459e-06,0.06528827,0.9233744,0.98866266,0.98866266,0.00040846877,0.02021061,0.00063872646
2005-04-05,7.553796e-06,0.06388555,0.92462134,0.9885069,0.9885069,0.00038590812,0.019644544,0.0006572469
2005-04-06,7.397687e-06,0.06475179,0.92380947,0.9885613,0.9885613,0.0003837128,0.019588588,0.0006467229
2005-04-07,7.4312056e-06,0.06458602,0.92394537,0.9885314,0.9885314,0.00036273053,0.019045485,0.0006479616
2005-04-08,7.2814596e-06,0.066025354,0.9225164,0.9885418,0.9885418,0.00040825128,0.02020523,0.0006354792
2005-04-11,7.3766914e-06,0.06505031,0.9234872,0.9885375,0.9885375,0.00039864844,0.019966183,0.0006435494
2005-04-12,7.3675574e-06,0.064703554,0.9239006,0.9886041,0.9886042,0.00037875609,0.019461656,0.0006465111
2005-04-13,7.5787666e-06,0.06431384,0.9241182,0.98843205,0.98843205,0.00043787967,0.020925574,0.0006551521
2005-04-14,7.5816515e-06,0.06486284,0.9234961,0.988359,0.988359,0.00047963153,0.021900492,0.00065128726
2005-04-15,7.332542e-06,0.06534723,0.9231765,0.9885238,0.9885238,0.0004708859,0.021699905,0.0006389336
2005-04-18,7.592664e-06,0.06444472,0.923936,0.98838073,0.98838073,0.00045280735,0.02127927,0.0006534545
2005-04-19,7.405051e-06,0.06494248,0.9235565,0.988499,0.988499,0.00042639932,0.020649439,0.00064386067
2005-04-20,6.8607073e-06,0.06769023,0.92105246,0.9887427,0.9887427,0.00049093977,0.02215716,0.0006094457
2005-04-21,7.790203e-06,0.063600406,0.9246667,0.9882671,0.9882671,0.00045950882,0.021436157,0.0006639636
2005-04-22,7.32683e-06,0.065182075,0.9233794,0.9885615,0.9885615,0.00050099415,0.022382898,0.0006405418
2005-04-25,7.6209203e-06,0.06379783,0.92463803,0.98843586,0.98843586,0.0005000086,0.022360872,0.0006590134
2005-04-26,7.6006445e-06,0.06390367,0.9245297,0.98843336,0.98843336,0.00048459676,0.022013558,0.0006571178
2005-04-27,7.642814e-06,0.06357846,0.9248799,0.9884584,0.9884584,0.00045879334,0.021419462,0.00066219684
2005-04-28,7.580249e-06,0.065074995,0.9232552,0.9883302,0.9883302,0.00058589526,0.024205273,0.00064956036
2005-04-29,7.5045796e-06,0.06433788,0.9241425,0.9884804,0.9884803,0.0005490423,0.023431651,0.0006514612
2005-05-02,7.454102e-06,0.06575557,0.9226311,0.98838663,0.98838663,0.00062116835,0.02492325,0.0006418553
2005-05-03,7.33509e-06,0.065402225,0.9230983,0.98850054,0.98850054,0.00061721826,0.024843877,0.0006378636
2005-05-04,7.586878e-06,0.06491767,0.9234322,0.98834985,0.98834985,0.00063029065,0.02510559,0.00065122603
2005-05-05,7.676024e-06,0.06411175,0.9241992,0.988311,0.988311,0.00059961336,0.024487004,0.0006566874
2005-05-06,7.723596e-06,0.06353026,0.9248287,0.988359,0.988359,0.00057374674,0.023953011,0.0006634807
2005-05-09,7.716821e-06,0.063731536,0.9245979,0.98832947,0.98832947,0.00053868187,0.023209522,0.0006612228
2005-05-10,7.661427e-06,0.06365873,0.9247516,0.9884103,0.9884103,0.0005326719,0.023079686,0.00066105445
2005-05-11,7.584771e-06,0.064289905,0.92412025,0.9884102,0.9884102,0.00050026854,0.022366684,0.0006544336
2005-05-12,7.555805e-06,0.06481257,0.9235685,0.9883811,0.988381,0.0005350874,0.023131957,0.0006503023
2005-05-13,7.655717e-06,0.064715706,0.9235817,0.9882974,0.9882974,0.0005994821,0.024484323,0.00065418956
2005-05-16,7.57012e-06,0.064301945,0.92411846,0.9884204,0.9884204,0.00056171056,0.023700435,0.00065374776
2005-05-17,7.3446536e-06,0.06536441,0.9231484,0.9885128,0.9885128,0.00052679644,0.022952046,0.000639378
2005-05-18,7.2719586e-06,0.0656005,0.92296964,0.98857015,0.98857015,0.00049698853,0.02229324,0.0006362254
2005-05-19,7.683693e-06,0.064444385,0.92385614,0.9883005,0.9883005,0.00055096473,0.023472639,0.0006567541
2005-05-20,7.386155e-06,0.065207995,0.92330176,0.9885098,0.9885098,0.0005200803,0.02280527,0.0006428207
2005-05-23,7.613374e-06,0.06452638,0.9238345,0.9883609,0.9883609,0.00048808812,0.022092717,0.0006541195
2005-05-24,7.760978e-06,0.063641414,0.9246744,0.9883158,0.9883158,0.0006131937,0.02476275,0.0006642297
2005-05-25,7.4003497e-06,0.06514973,0.92332983,0.98847955,0.98847955,0.0005812352,0.02410882,0.00064236665
2005-05-26,7.4459867e-06,0.065440424,0.9229031,0.98834354,0.98834354,0.0005874185,0.024236718,0.0006387861
2005-05-27,7.605229e-06,0.06406377,0.9243274,0.98839116,0.98839116,0.0005495844,0.023443216,0.00065512396
2005-05-31,7.5202734e-06,0.064361475,0.92409694,0.9884584,0.9884584,0.0005321968,0.023069391,0.0006515795
2005-06-01,7.5908583e-06,0.064145364,0.9242822,0.9884276,0.9884276,0.0004995984,0.022351697,0.0006559439
2005-06-02,6.6016514e-06,0.06999605,0.918724,0.98872006,0.98872006,0.00062418554,0.024983706,0.00058525585
2005-06-03,7.834301e-06,0.06367129,0.92456055,0.98823184,0.98823184,0.0006031484,0.02455908,0.00066571997
2005-06-06,7.0219735e-06,0.06688535,0.9217587,0.98864406,0.98864406,0.00060698646,0.024637096,0.0006183527
2005-06-07,7.734135e-06,0.06410843,0.9241739,0.9882823,0.9882823,0.0005733393,0.023944505,0.0006600399
2005-06-08,7.762687e-06,0.06333755,0.92503244,0.98837,0.98837,0.00054967724,0.023445196,0.00066747103
2005-06-09,7.70225e-06,0.06379296,0.92458653,0.9883795,0.9883795,0.0005503025,0.023458527,0.0006628145
2005-06-10,6.611617e-06,0.06929636,0.9194902,0.9887866,0.9887866,0.00058323547,0.02415027,0.00058961636
2005-06-13,7.855014e-06,0.06311617,0.9252037,0.9883199,0.9883199,0.00055640517,0.023588242,0.00067251106
2005-06-14,7.326339e-06,0.065450616,0.92307,0.9885206,0.9885206,0.0006131868,0.024762608,0.00063821743
2005-06-15,7.80698e-06,0.06333232,0.92499286,0.9883252,0.9883252,0.0005819182,0.024122981,0.0006687023
2005-06-16,7.665595e-06,0.06341495,0.9250391,0.98845404,0.98845404,0.00055250205,0.023505362,0.00066392036
2005-06-17,7.4884597e-06,0.06416903,0.9243708,0.9885399,0.9885399,0.00053878507,0.023211744,0.0006534361
2005-06-20,7.1795894e-06,0.06590984,0.9227035,0.98861337,0.98861337,0.0005738056,0.023954239,0.00063052785
