Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2021-06-24,8.7687886e-07,0.07813079,0.9140984,0.99222916,0.99222916,0.00013289324,0.011527933,0.000112842274
2021-06-25,4.8397226e-07,0.15100025,0.84174734,0.9927476,0.9927476,0.00012490439,0.011176063,6.673275e-05
2021-06-28,6.390348e-07,0.12291723,0.8694516,0.9923688,0.9923688,0.00010732701,0.010359875,8.373994e-05
2021-06-29,5.034224e-07,0.14576054,0.8469551,0.99271566,0.99271566,9.436564e-05,0.009714198,6.91102e-05
2021-06-30,3.7011947e-07,0.18229465,0.81063235,0.992927,0.992927,8.0445e-05,0.008969114,5.2328607e-05
2021-07-01,1.6052136e-06,0.07723846,0.9119897,0.9892281,0.9892281,6.565987e-05,0.008103078,0.00014901902
2021-07-02,6.8041237e-07,0.14461024,0.8468673,0.99147755,0.99147755,6.368548e-05,0.007980319,7.983764e-05
2021-07-06,7.716791e-07,0.12181715,0.8697042,0.99152136,0.99152136,6.259478e-05,0.007911686,9.101447e-05
2021-07-07,1.1984132e-06,0.093607,0.8966416,0.9902486,0.9902486,5.5702054e-05,0.0074633807,0.00012289679
2021-07-08,6.875899e-07,0.13143526,0.8603453,0.9917806,0.9917806,5.2188952e-05,0.0072241924,8.36543e-05
2021-07-09,1.7877863e-06,0.03864341,0.9519677,0.99061114,0.99061114,5.4788947e-05,0.007401956,0.00019041562
2021-07-12,6.087321e-07,0.11722971,0.87534475,0.99257445,0.99257445,5.8151178e-05,0.007625692,8.197808e-05
2021-07-13,4.7607318e-07,0.15946046,0.8330964,0.99255687,0.9925568,5.2858373e-05,0.007270376,6.396142e-05
2021-07-14,7.4225585e-07,0.12841453,0.8631051,0.99151963,0.99151963,4.657901e-05,0.006824882,8.752635e-05
2021-07-15,8.9246316e-07,0.10809617,0.8831791,0.9912753,0.9912753,4.116377e-05,0.0064159,0.000102291684
2021-07-16,7.6383634e-07,0.12999976,0.86136466,0.9913644,0.9913644,3.865365e-05,0.006217206,8.845223e-05
2021-07-19,2.6670286e-06,0.03727064,0.95119506,0.9884657,0.9884657,4.2503798e-05,0.0065194936,0.00023122641
2021-07-20,3.6214942e-06,0.015618349,0.9736827,0.989301,0.989301,5.155342e-05,0.007180071,0.00033848986
2021-07-21,8.8821315e-07,0.07890748,0.91325307,0.99216056,0.99216056,5.689833e-05,0.007543098,0.000113300564
2021-07-22,5.125559e-07,0.13730009,0.85550505,0.9928051,0.9928051,5.774839e-05,0.0075992364,7.123901e-05
2021-07-23,4.0865683e-07,0.16171484,0.83137524,0.9930901,0.9930901,5.0415667e-05,0.007100399,5.9140715e-05
2021-07-26,5.7416827e-07,0.11733578,0.8755171,0.99285287,0.99285287,5.8656726e-05,0.007658768,8.033546e-05
2021-07-27,4.941582e-07,0.19502136,0.7962879,0.9913093,0.9913093,5.253186e-05,0.0072478866,5.6860477e-05
2021-07-28,3.1130792e-06,0.08135261,0.9028561,0.9842087,0.9842087,4.6731082e-05,0.0068360134,0.00019713891
2021-07-29,1.4863253e-06,0.15293433,0.8336984,0.9866327,0.9866327,4.5333378e-05,0.006733007,0.000111191184
2021-07-30,1.2360465e-06,0.15705712,0.8306742,0.9877313,0.9877313,4.1671003e-05,0.0064553083,0.00010074778
2021-08-02,5.6202784e-06,0.055839043,0.9246498,0.98048884,0.98048884,3.9862218e-05,0.006313653,0.0002880545
2021-08-03,3.270627e-06,0.10576632,0.8767305,0.9824968,0.9824968,4.277058e-05,0.006539922,0.00018685879
2021-08-04,1.6615959e-06,0.12446717,0.86254305,0.98701024,0.98701024,4.7398473e-05,0.006884655,0.00012791583
2021-08-05,1.9082552e-06,0.13161013,0.8540877,0.9856978,0.98569787,4.580314e-05,0.0067678015,0.00013342395
2021-08-06,9.547854e-07,0.1671983,0.8217597,0.988958,0.988958,4.5969617e-05,0.00678009,8.646853e-05
2021-08-09,1.816335e-06,0.13569556,0.85020137,0.98589694,0.98589694,3.908994e-05,0.0062521948,0.00012879018
2021-08-10,1.3738364e-06,0.16301064,0.8237355,0.98674613,0.98674613,3.5186156e-05,0.005931792,0.00010365551
2021-08-11,2.3824132e-06,0.14154823,0.8417555,0.9833037,0.9833037,3.0540315e-05,0.0055263294,0.00014269131
2021-08-12,2.1902044e-06,0.14346042,0.8405082,0.9839687,0.9839686,2.883634e-05,0.0053699478,0.0001366203
2021-08-13,2.031128e-06,0.15706284,0.8268717,0.9839345,0.9839345,2.7557804e-05,0.005249553,0.0001264281
2021-08-16,2.450208e-06,0.14819664,0.83451325,0.9827099,0.9827099,2.5236624e-05,0.0050236066,0.0001417115
2021-08-17,5.940467e-06,0.062399156,0.91670674,0.9791059,0.9791059,2.4206094e-05,0.004919969,0.000284313
2021-08-18,5.5657347e-06,0.05019226,0.93100286,0.9811951,0.9811951,3.0983712e-05,0.0055663013,0.00029597245
2021-08-19,5.370086e-06,0.046972267,0.93506426,0.98203653,0.98203653,4.0697356e-05,0.006379448,0.00029894483
2021-08-20,6.34441e-06,0.062408466,0.9161499,0.97855836,0.97855836,4.351183e-05,0.0065963496,0.00029589204
2021-08-23,2.4106275e-06,0.10875215,0.87617284,0.984925,0.984925,4.9946695e-05,0.0070672976,0.00015990865
2021-08-24,1.3520779e-06,0.1404283,0.8473811,0.9878094,0.9878094,5.416481e-05,0.0073596747,0.00011091169
2021-08-25,1.1749145e-06,0.17981745,0.80718285,0.9870003,0.9870003,4.752586e-05,0.0068939,9.038003e-05
